OwnerId,PlayerId,PlayerBoughtForAmount
67f57341421edd01df76553c,11195,510
67f57899e82081c624131e28,8204,170
67f572de421edd01df7654da,9427,100
67f572de421edd01df7654da,11177,280
67f571e8421edd01df765478,32835,20
67f57365421edd01df76556d,587,300
67f571e8421edd01df765478,14598,20
67f57386421edd01df76559e,1593,200
67f571e8421edd01df765478,10420,280
67f572de421edd01df7654da,13497,70
67f57386421edd01df76559e,8808,380
67f57b0e591a5fba60ffdee3,12779,30
67f571e8421edd01df765478,27424,30
67f57341421edd01df76553c,8989,310
67f57899e82081c624131e28,7662,290
67f571e8421edd01df765478,13170,10
67f57320421edd01df76550b,14922,20
67f571e8421edd01df765478,10919,140
67f57386421edd01df76559e,10484,10
67f57b0e591a5fba60ffdee3,13214,90
67f57320421edd01df76550b,14565,220
67f572b7421edd01df7654a9,12337,40
67f572de421edd01df7654da,12344,20
67f572b7421edd01df7654a9,10917,690
67f57320421edd01df76550b,6692,10
67f571e8421edd01df765478,7736,290
67f57320421edd01df76550b,52428,50
67f573b4421edd01df7655cf,9647,360
67f57320421edd01df76550b,22601,30
67f57365421edd01df76556d,1447337,30
67f572de421edd01df7654da,1431171,20
67f57320421edd01df76550b,10100,130
67f57365421edd01df76556d,13747,100
67f573b4421edd01df7655cf,12305,240
67f57341421edd01df76553c,15749,90
67f573b4421edd01df7655cf,10926,110
67f572b7421edd01df7654a9,13962,20
67f57386421edd01df76559e,11311,220
67f57341421edd01df76553c,10045,200
67f57899e82081c624131e28,19636,30
67f573b4421edd01df7655cf,13646,10
67f572b7421edd01df7654a9,10238,50
67f573b4421edd01df7655cf,36524,10
67f57341421edd01df76553c,14701,320
67f571e8421edd01df765478,10940,10
67f57b0e591a5fba60ffdee3,13907,190
67f57365421edd01df76556d,6250,100
67f57320421edd01df76550b,14628,30
67f57386421edd01df76559e,14693,10
67f571e8421edd01df765478,51378,20
67f57899e82081c624131e28,14606,200
67f57365421edd01df76556d,14599,70
67f572b7421edd01df7654a9,10693,100
67f572de421edd01df7654da,9693,130
67f571e8421edd01df765478,10226,100
67f57365421edd01df76556d,22576,20
67f57899e82081c624131e28,13748,40
67f57320421edd01df76550b,10954,10
67f571e8421edd01df765478,11595,50
67f57899e82081c624131e28,8182,10
67f573b4421edd01df7655cf,18637,10
67f571e8421edd01df765478,11077,50
67f57b0e591a5fba60ffdee3,10945,300
