OwnerId,PlayerId,PlayerBoughtForAmount
67f572b7421edd01df7654a9,11813,670
67f572b7421edd01df7654a9,22571,40
67f571e8421edd01df765478,9012,150
67f573b4421edd01df7655cf,8257,20
67f57899e82081c624131e28,12201,80
67f57b0e591a5fba60ffdee3,7825,90
67f573b4421edd01df7655cf,14700,50
67f57320421edd01df76550b,13915,50
67f573b4421edd01df7655cf,9428,550
67f57899e82081c624131e28,14689,40
67f57341421edd01df76553c,1447,290
67f57341421edd01df76553c,1836,50
67f572de421edd01df7654da,22566,70
67f57386421edd01df76559e,10896,200
67f57365421edd01df76556d,11445,10
67f57365421edd01df76556d,7915,610
67f57365421edd01df76556d,576,540
67f573b4421edd01df7655cf,14504,300
67f57341421edd01df76553c,36139,50
67f572de421edd01df7654da,13940,870
67f57365421edd01df76556d,9789,80
67f57386421edd01df76559e,19328,10
67f57341421edd01df76553c,51791,90
67f57320421edd01df76550b,9204,140
67f57b0e591a5fba60ffdee3,1413,950
67f572de421edd01df7654da,52418,10
67f572de421edd01df7654da,13088,10
67f571e8421edd01df765478,13169,20
67f571e8421edd01df765478,8497,880
67f572b7421edd01df7654a9,10499,30
67f57365421edd01df76556d,13914,10
67f57341421edd01df76553c,8709,20
67f571e8421edd01df765478,6349,70
67f57386421edd01df76559e,9582,300
67f57320421edd01df76550b,10223,30
67f57899e82081c624131e28,11808,1110
67f57320421edd01df76550b,13866,500
